,Order ID,User,Item ID,Day of Month
0,1,0,253,1
1,1,0,9,1
2,1,0,91,1
3,1,0,12,1
4,1,0,266,1
5,2,0,276,9
6,2,0,243,9
7,2,0,272,9
8,2,0,72,9
9,2,0,122,9
10,2,0,127,9
11,2,0,242,9
12,3,0,169,21
13,3,0,172,21
14,3,0,212,21
15,3,0,157,21
16,3,0,175,21
17,3,0,166,21
18,4,1,64,5
19,4,1,116,5
20,4,1,276,5
21,4,1,265,5
22,4,1,53,5
23,5,1,38,13
24,5,1,40,13
25,5,1,11,13
26,5,1,10,13
27,5,1,82,13
28,5,1,13,13
29,5,1,83,13
30,6,1,110,17
31,6,1,200,17
32,6,1,42,17
33,6,1,79,17
34,6,1,108,17
35,7,1,14,26
36,7,1,0,26
37,7,1,11,26
38,7,1,24,26
39,7,1,2,26
40,7,1,3,26
41,7,1,20,26
42,8,1,205,28
43,8,1,182,28
44,8,1,10,28
45,8,1,9,28
46,8,1,5,28
47,9,2,166,12
48,9,2,163,12
49,9,2,164,12
50,9,2,168,12
51,9,2,165,12
52,10,2,100,20
53,10,2,152,20
54,10,2,4,20
55,10,2,153,20
56,10,2,0,20
57,10,2,155,20
58,11,2,2,29
59,11,2,71,29
60,11,2,68,29
61,11,2,227,29
62,11,2,3,29
63,12,3,272,1
64,12,3,116,1
65,12,3,73,1
66,12,3,68,1
67,12,3,76,1
68,12,3,270,1
69,13,3,82,7
70,13,3,79,7
71,13,3,4,7
72,13,3,25,7
73,13,3,85,7
74,13,3,152,7
75,14,3,91,11
76,14,3,104,11
77,14,3,102,11
78,14,3,52,11
79,14,3,189,11
80,15,3,261,17
81,15,3,182,17
82,15,3,130,17
83,15,3,131,17
84,15,3,186,17
85,15,3,132,17
86,16,3,223,23
87,16,3,13,23
88,16,3,280,23
89,16,3,225,23
90,16,3,10,23
91,16,3,221,23
92,16,3,283,23
93,17,4,128,7
94,17,4,59,7
95,17,4,66,7
96,17,4,127,7
97,17,4,57,7
98,18,4,104,12
99,18,4,101,12
100,18,4,171,12
101,18,4,120,12
102,18,4,89,12
103,19,4,182,21
104,19,4,258,21
105,19,4,104,21
106,19,4,102,21
107,19,4,105,21
108,20,4,192,29
109,20,4,216,29
110,20,4,184,29
111,20,4,183,29
112,20,4,219,29
113,20,4,178,29
114,20,4,191,29
115,21,5,122,21
116,21,5,188,21
117,21,5,191,21
118,21,5,180,21
119,21,5,182,21
120,21,5,185,21
121,22,6,148,17
122,22,6,137,17
123,22,6,67,17
124,22,6,136,17
125,22,6,265,17
126,22,6,146,17
127,23,6,169,20
128,23,6,61,20
129,23,6,226,20
130,23,6,53,20
131,23,6,64,20
132,23,6,235,20
133,23,6,222,20
134,24,7,61,24
135,24,7,284,24
136,24,7,53,24
137,24,7,60,24
138,24,7,61,24
139,25,8,90,2
140,25,8,87,2
141,25,8,112,2
142,25,8,229,2
143,25,8,230,2
144,26,8,57,21
145,26,8,59,21
146,26,8,205,21
147,26,8,97,21
148,26,8,101,21
149,26,8,77,21
150,27,8,241,23
151,27,8,216,23
152,27,8,266,23
153,27,8,250,23
154,27,8,208,23
155,28,8,40,25
156,28,8,222,25
157,28,8,191,25
158,28,8,219,25
159,28,8,193,25
160,28,8,221,25
161,28,8,50,25
162,29,8,59,27
163,29,8,56,27
164,29,8,196,27
165,29,8,200,27
166,29,8,239,27
167,29,8,60,27
168,29,8,237,27
169,30,9,140,8
170,30,9,241,8
171,30,9,231,8
172,30,9,236,8
173,30,9,148,8
174,31,9,252,9
175,31,9,60,9
176,31,9,251,9
177,31,9,36,9
178,31,9,121,9
179,32,9,1,16
180,32,9,0,16
181,32,9,18,16
182,32,9,19,16
183,32,9,37,16
184,32,9,22,16
185,32,9,3,16
186,33,9,245,28
187,33,9,244,28
188,33,9,1,28
189,33,9,241,28
190,33,9,61,28
191,34,10,128,3
192,34,10,126,3
193,34,10,130,3
194,34,10,136,3
195,34,10,127,3
196,35,10,192,6
197,35,10,20,6
198,35,10,5,6
199,35,10,126,6
200,35,10,201,6
201,35,10,203,6
202,35,10,8,6
203,36,10,172,16
204,36,10,126,16
205,36,10,213,16
206,36,10,156,16
207,36,10,127,16
208,36,10,212,16
209,36,10,130,16
210,37,11,214,3
211,37,11,206,3
212,37,11,209,3
213,37,11,70,3
214,37,11,210,3
215,37,11,183,3
216,38,11,50,21
217,38,11,95,21
218,38,11,104,21
219,38,11,93,21
220,38,11,78,21
221,38,11,58,21
222,38,11,47,21
223,39,11,153,24
224,39,11,93,24
225,39,11,141,24
226,39,11,109,24
227,39,11,78,24
228,40,11,133,30
229,40,11,85,30
230,40,11,50,30
231,40,11,185,30
232,40,11,132,30
233,41,12,74,12
234,41,12,158,12
235,41,12,169,12
236,41,12,247,12
237,41,12,170,12
238,41,12,53,12
239,41,12,51,12
240,42,12,87,25
241,42,12,108,25
242,42,12,99,25
243,42,12,278,25
244,42,12,274,25
245,42,12,198,25
246,42,12,277,25
247,43,13,124,3
248,43,13,125,3
249,43,13,141,3
250,43,13,156,3
251,43,13,143,3
252,43,13,175,3
253,44,13,285,4
254,44,13,150,4
255,44,13,275,4
256,44,13,50,4
257,44,13,66,4
258,45,13,68,10
259,45,13,69,10
260,45,13,181,10
261,45,13,67,10
262,45,13,178,10
263,46,13,127,14
264,46,13,25,14
265,46,13,24,14
266,46,13,20,14
267,46,13,2,14
268,46,13,1,14
269,47,13,8,25
270,47,13,224,25
271,47,13,5,25
272,47,13,30,25
273,47,13,28,25
274,47,13,9,25
275,48,14,248,6
276,48,14,26,6
277,48,14,29,6
278,48,14,135,6
279,48,14,21,6
280,48,14,30,6
281,49,14,16,12
282,49,14,21,12
283,49,14,7,12
284,49,14,206,12
285,49,14,9,12
286,49,14,12,12
287,49,14,10,12
288,50,15,30,8
289,50,15,246,8
290,50,15,29,8
291,50,15,21,8
292,50,15,7,8
293,51,15,233,16
294,51,15,181,16
295,51,15,237,16
296,51,15,183,16
297,51,15,190,16
298,51,15,188,16
299,52,15,190,21
300,52,15,181,21
301,52,15,189,21
302,52,15,285,21
303,52,15,279,21
304,52,15,176,21
305,53,15,127,22
306,53,15,229,22
307,53,15,156,22
308,53,15,215,22
309,53,15,133,22
310,54,15,118,27
311,54,15,270,27
312,54,15,119,27
313,54,15,5,27
314,54,15,238,27
315,55,16,244,30
316,55,16,216,30
317,55,16,210,30
318,55,16,250,30
319,55,16,247,30
320,56,17,74,26
321,56,17,136,26
322,56,17,90,26
323,56,17,71,26
324,56,17,21,26
325,57,17,153,28
326,57,17,256,28
327,57,17,43,28
328,57,17,267,28
329,57,17,258,28
330,57,17,45,28
331,58,18,209,7
332,58,18,87,7
333,58,18,233,7
334,58,18,208,7
335,58,18,36,7
336,59,18,155,10
337,59,18,137,10
338,59,18,252,10
339,59,18,151,10
340,59,18,253,10
341,59,18,259,10
342,59,18,268,10
343,60,18,278,30
344,60,18,274,30
345,60,18,74,30
346,60,18,256,30
347,60,18,277,30
348,60,18,265,30
349,60,18,76,30
350,61,19,159,11
351,61,19,161,11
352,61,19,194,11
353,61,19,200,11
354,61,19,165,11
355,61,19,202,11
356,62,19,215,16
357,62,19,97,16
358,62,19,212,16
359,62,19,81,16
360,62,19,248,16
361,62,19,89,16
362,63,19,118,17
363,63,19,117,17
364,63,19,100,17
365,63,19,135,17
366,63,19,97,17
367,63,19,116,17
368,63,19,99,17
369,64,19,199,20
370,64,19,215,20
371,64,19,136,20
372,64,19,198,20
373,64,19,68,20
374,64,19,211,20
375,64,19,194,20
376,65,20,284,3
377,65,20,287,3
378,65,20,98,3
379,65,20,42,3
380,65,20,87,3
381,65,20,100,3
382,65,20,151,3
383,66,20,160,10
384,66,20,287,10
385,66,20,157,10
386,66,20,172,10
387,66,20,265,10
388,67,20,193,14
389,67,20,192,14
390,67,20,275,14
391,67,20,195,14
392,67,20,277,14
393,67,20,202,14
394,67,20,208,14
395,68,20,57,28
396,68,20,66,28
397,68,20,56,28
398,68,20,282,28
399,68,20,286,28
400,68,20,280,28
401,68,20,158,28
402,69,21,235,7
403,69,21,221,7
404,69,21,249,7
405,69,21,127,7
406,69,21,246,7
407,69,21,240,7
408,70,21,155,13
409,70,21,146,13
410,70,21,153,13
411,70,21,148,13
412,70,21,152,13
413,71,21,159,14
414,71,21,162,14
415,71,21,165,14
416,71,21,161,14
417,71,21,181,14
418,71,21,101,14
419,72,21,245,27
420,72,21,242,27
421,72,21,241,27
422,72,21,33,27
423,72,21,19,27
424,73,22,253,3
425,73,22,131,3
426,73,22,268,3
427,73,22,259,3
428,73,22,256,3
429,73,22,225,3
430,73,22,266,3
431,74,22,27,6
432,74,22,63,6
433,74,22,29,6
434,74,22,17,6
435,74,22,20,6
436,75,22,32,10
437,75,22,34,10
438,75,22,33,10
439,75,22,122,10
440,75,22,126,10
441,75,22,128,10
442,76,22,285,22
443,76,22,74,22
444,76,22,51,22
445,76,22,76,22
446,76,22,63,22
447,77,22,34,23
448,77,22,194,23
449,77,22,33,23
450,77,22,50,23
451,77,22,205,23
452,77,22,46,23
453,78,23,5,6
454,78,23,138,6
455,78,23,7,6
456,78,23,275,6
457,78,23,9,6
458,78,23,6,6
459,78,23,146,6
460,79,23,143,13
461,79,23,282,13
462,79,23,55,13
463,79,23,53,13
464,79,23,153,13
465,79,23,52,13
466,80,23,161,14
467,80,23,206,14
468,80,23,207,14
469,80,23,266,14
470,80,23,213,14
471,80,23,215,14
472,80,23,86,14
473,81,23,71,20
474,81,23,68,20
475,81,23,69,20
476,81,23,142,20
477,81,23,149,20
478,81,23,139,20
479,81,23,118,20
480,82,24,272,8
481,82,24,49,8
482,82,24,150,8
483,82,24,121,8
484,82,24,153,8
485,82,24,125,8
486,83,25,11,7
487,83,25,3,7
488,83,25,23,7
489,83,25,187,7
490,83,25,21,7
491,84,25,270,13
492,84,25,278,13
493,84,25,123,13
494,84,25,277,13
495,84,25,149,13
496,84,25,273,13
497,85,25,203,16
498,85,25,197,16
499,85,25,201,16
500,85,25,284,16
501,85,25,148,16
502,85,25,198,16
503,85,25,202,16
504,86,25,112,24
505,86,25,181,24
506,86,25,124,24
507,86,25,63,24
508,86,25,82,24
509,86,25,78,24
510,86,25,77,24
511,87,26,5,11
512,87,26,277,11
513,87,26,178,11
514,87,26,11,11
515,87,26,183,11
516,87,26,26,11
517,88,27,103,18
518,88,27,105,18
